x1;30ø;45ø;60ø;;1er ordre;x1;10;50;50;10;;;;;;
x2;6m/s;6m/s;6m/s;;;x2;8;8;10;10;;;;;;
Essai 1;;;;;;Y;3,31;6,55;10,09;4,67;;;;;;
Essai 2;;;;;;;;;;;;;;;;
Essai 3;;;;;;;;;;;;;;;;
;5,5ms;5,5ms;5,5ms;;;;;;;;;;;;;
Essai 4;;;;;;;a0;a1;a2;a12;;;;;;
Essai 5;;;;;;Matrice d'exp;;x1;x2;x1*x2;Y;;;x1=angle  de tir;;
Essai 6;;;;;;Essaie 1;1;10;8;80;3,31;;;x2=vitesse de rotation;;
;5m/s;5m/s;5m/s;;;Essaie 2;1;50;8;400;6,55;;;;;
Essai 7;;;;;;Essaie 3;1;50;10;500;10,09;;;CtxY;;
Essai 8;;;;;;Essaie 4;1;10;10;100;4,67;;;;24,62;
Essai 9;;;;;;;;;;;;;;;911,8;
;;;;;;;;;;;;;;;226,48;
;;;;;;;;;;;;;;;8396,8;
;;;;;;;;;;;;;;;;
;;;;;Ct;Transpos‚e;;;;;;;;;;
;;;;;;1;1;1;1;;;;;;;
;;;;;;10;50;50;10;;;Inv(CTxC);;;;
;;;;;;8;8;10;10;;;;66,625;-1,5375;-7,3125;0,16875
;;;;;;80;400;500;100;;;;-1,5375;0,05125;0,16875;-0,005625
;;;;;;;;;;;;;-7,3125;0,16875;0,8125;-0,01875
;;;;;;;;;;;;;0,16875;-0,005625;-0,01875;0,000625
;;;;;;;;;;;;;;;;
;;;;;CtxC;Produit mat;;;;;;;;;;
;;;;;;4;120;36;1080;;;;;;;
;;;;;;120;5200;1080;46800;;;a=Inv(CtxC)xCtxY;;;;
;;;;;;36;1080;328;9840;;;a0;-0,76;;;
;;;;;;1080;46800;9840;426400;;;a1;-0,137;;;
;;;;;;;;;;;;a2;0,4075;;;
;;;;;;;;;;;;a12;0,02725;;;
;;;;;;;;;;;;;;;;
2e ordre;x1;10;50;50;10;50;30;10;30;30;;;;;;
;x2;8;8;10;10;9;9;9;8;10;;;;;;
;Y;2,19;6,3;9,85;3,42;7,98;7,01;2,77;5,54;8,66;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Matrice d'exp;;x1;x2;x1*x2;x1*x1;x2*x2;Y;;Inv(Ct*C);;;;;;;
Essaie 1;1;10;8;80;100;64;2,19;;3287,524306;-1,65;-729,5625;0,16875;0,001979167;40,16666667;;
Essaie 2;1;50;8;400;2500;64;6,3;;-1,65;0,062291667;0,16875;-0,005625;-0,0001875;-9,5016E-16;;
Essaie 3;1;50;10;500;2500;100;9,85;;-729,5625;0,16875;162,7291667;-0,01875;-2,38227E-15;-9;;
Essaie 4;1;10;10;100;100;100;3,42;;0,16875;-0,005625;-0,01875;0,000625;7,2823E-19;8,08052E-17;;
Essaie 5;1;50;9;450;2500;81;7,98;;0,001979167;-0,0001875;-5,5635E-17;-2,12865E-19;3,125E-06;3,44641E-18;;
Essaie 6;1;30;9;270;900;81;7,01;;40,16666667;2,89303E-13;-9;-3,25475E-14;1,30646E-16;0,5;;
Essaie 7;1;10;9;90;100;81;2,77;;;;;;;;;
Essaie 8;1;30;8;240;900;64;5,54;;;;;;;;;
Essaie 9;1;30;10;300;900;100;8,66;;;;;;;;;
;;;;;;;;;;Cx*Y;53,72;;;;;
;;;;;;;;;;;1926,6;;;;;
Transpos‚e Ct;;;;;;;;;;;491,38;;;;;
1;1;1;1;1;1;1;1;1;;;17622,8;;;;;
10;50;50;10;50;30;10;30;30;;;80252;;;;;
8;8;10;10;9;9;9;8;10;;;4529,48;;;;;
80;400;500;100;450;270;90;240;300;;;;;;;;
100;2500;2500;100;2500;900;100;900;900;;;;;;;;
64;64;100;100;81;81;81;64;100;;;;;;;;
;;;;;;;;;;;a=Inv(Ct*C)*Ct*Y;;;;;
;;;;;;;;;;a0;;1,287361112;;;;
CT*C;;;;;;;;;;a1;;0,118;;;;
9;270;81;2430;10500;735;;;;;a2;;-0,873333333;;;;
270;10500;2430;94500;459000;22050;;;;;a12;;0,029;;;;
81;2430;735;22050;94500;6723;;;;;a11;;-0,004129167;;;;
2430;94500;22050;857500;4131000;201690;;;;;a22;;0,073333333;;;;
10500;459000;94500;4131000;21210000;857500;;;;;;;;;;;
735;22050;6723;201690;857500;61971;;;;;;;;;;;
